,순위,영화명,개봉일,좌석판매율,좌석점유율,좌석수,매출액,누적매출액,관객수,누적관객수,년도,장르,등급
157,114,냉정과 열정사이,2003-10-10,0.085,0.0,520359,355616500,372483000,44347,46599,2016,,
158,114,스푹스:MI5,2016-03-17,0.046,0.0,894008,316642549,316642549,41416,41416,2016,액션,15
159,114,33,2016-04-07,0.068,0.0,606098,318282400,318282400,41269,41269,2016,드라마,12
160,114,스누피: 더 피너츠 무비,2015-12-24,0.282,0.0,144724,311917200,1505929300,40862,197238,2016,애니메이션,전체
161,114,매드 맥스: 분노의 도로,2015-05-14,0.115,0.0,349208,473125200,33385967362,40255,3883598,2016,액션,15
162,114,나의 그리스식 웨딩 2,2016-03-30,0.053,0.0,720703,288215300,288215300,38305,38305,2016,코미디,15
163,114,트릭,2016-07-13,0.047,0.0,808071,297957300,297957300,38262,38262,2016,스릴러,15
164,114,너의 이름은.,2017-01-04,0.639,0.0,57489,315187000,315187000,36763,36763,2016,애니메이션,12
165,114,대결,2016-09-22,0.045,0.0,704861,251176500,251176500,32278,32278,2016,액션,15
166,114,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-09,0.17,0.0,188669,256266200,256266200,32117,32117,2016,애니메이션,전체
167,114,쿠보와 전설의 악기,2016-10-26,0.099,0.0,307415,208824862,208824862,30525,30525,2016,애니메이션,전체
168,114,걸즈 앤 판처 극장판,2016-08-25,0.166,0.0,171995,256282100,256282100,28569,28569,2016,애니메이션,12
169,114,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,0.133,0.0,203382,220051200,220051200,27070,27070,2016,전쟁,15
170,114,오페라의 유령,2004-12-08,0.164,0.0,155381,206136300,10068725300,25604,1574711,2016,,
171,114,키즈모노가타리 I : 철혈편,2016-06-30,0.128,0.0,190729,187425500,187425500,24536,24536,2016,애니메이션,15
172,114,나이스 가이즈,2016-07-06,0.051,0.0,474345,189535838,189535838,24471,24471,2016,범죄,19
173,114,하이 스피드! –프리! 스타팅 데이즈-,2016-03-24,0.133,0.0,175351,172018500,172018500,23496,23496,2016,애니메이션,전체
174,114,스킵트레이스: 합동수사,2016-08-31,0.053,0.0,418743,163700300,163700300,22350,22350,2016,액션,15
175,114,시크릿 인 데어 아이즈,2016-04-27,0.076,0.0,281847,162031200,162031200,21692,21692,2016,미스터리,15
176,114,히야,2016-03-10,0.111,0.0,194378,173844100,173844100,21687,21687,2016,드라마,12
177,114,해리포터와 죽음의 성물2,2011-07-13,0.346,0.0,60456,160945500,34668545500,20940,4421210,2016,판타지,전체
178,114,하이큐!! 승자와 패자,2016-12-28,0.225,0.0,92198,145794000,145794000,20814,20814,2016,애니메이션,12
179,114,인터스텔라,2014-11-06,0.202,0.0,102105,241759500,82613149500,20727,10304501,2016,SF,12
180,114,버스 657,2016-01-14,0.076,0.0,235029,143676000,143676000,18042,18042,2016,액션,15
181,114,미라클 프롬 헤븐,2016-05-25,0.077,0.0,228800,120155500,120155500,17665,17665,2016,드라마,전체
182,114,내부자들,2015-11-19,0.297,0.0,57648,133555400,56599221057,17175,7072507,2016,범죄,19
183,114,사랑하기 때문에,2017-01-04,0.952,0.0,17222,134684000,134684000,16410,16410,2016,코미디,12
184,114,예전부터 계속 좋아했어 ~고백실행위원회~,2016-09-29,0.08,0.0,200480,120601500,120601500,16187,16187,2016,애니메이션,전체
185,114,무수단,2016-03-03,0.052,0.0,303592,126155400,126155400,15882,15882,2016,미스터리,15
186,114,키즈모노가타리 II : 열혈편,2016-10-20,0.099,0.0,158301,122123000,122123000,15800,15800,2016,애니메이션,15
187,114,호비와 동화나라 대모험,2016-12-08,0.149,0.0,104153,110170000,110170000,15603,15603,2016,애니메이션,전체
188,114,아이 인 더 스카이,2016-07-14,0.057,0.0,270246,118497200,118497200,15573,15573,2016,전쟁,12
189,114,파이트 클럽,1999-11-13,0.091,0.0,165586,121231200,124600200,15224,15771,2016,,
190,114,나쁜놈은 죽는다,2016-02-04,0.07,0.0,213078,117273700,117273700,14942,14942,2016,코미디,15
191,114,미스터 라잇,2016-06-16,0.085,0.0,146590,92430800,92430800,12465,12465,2016,액션,19
192,114,본 얼티메이텀,2007-09-12,0.19,0.0,65142,108457000,13316615000,12436,2005155,2016,,
193,114,해리 포터와 죽음의 성물1,2010-12-15,0.224,0.0,54584,90959500,20219758000,12267,2853500,2016,미스터리,전체
194,114,향수 : 어느 살인자의 이야기,2007-03-22,0.065,0.0,177517,77123000,5921026000,11710,979328,2016,,
195,114,몽키킹2: 서유기 여정의 시작,2016-05-19,0.216,0.0,51546,49077600,49077600,11156,11156,2016,액션,12
196,114,레고 무비,2014-02-06,0.102,0.0,97354,78525600,1679825800,9997,246126,2016,애니메이션,전체
197,114,별을 쫓는 아이,2011-08-25,0.109,0.0,90578,60961500,439680000,9948,62825,2016,애니메이션,전체
198,114,오만과 편견 그리고 좀비,2016-05-25,0.054,0.0,179534,76846300,76846300,9717,9717,2016,액션,15
199,114,미운 오리 새끼의 모험,2008-04-03,0.17,0.0,52826,67760300,686139300,9016,118068,2016,애니메이션,전체
200,114,햄릿,2016-11-24,0.218,0.0,39544,114395000,114395000,8657,8657,2016,공연,15
201,114,제3의 사랑,2016-05-19,0.055,0.0,147215,58467400,58467400,8128,8128,2016,멜로/로맨스,15
202,114,매트릭스,1999-05-15,0.05,0.0,158075,64806100,64806100,8007,8007,2016,,
203,114,신을 믿습니까?,2016-04-21,0.071,0.0,102392,51956900,51956900,7317,7317,2016,드라마,12
204,114,앱솔루틀리 애니씽,2016-01-14,0.067,0.0,105301,54492800,54492800,7059,7059,2016,코미디,12
205,114,극장판 울려라! 유포니엄,2016-09-01,0.065,0.0,92910,46427000,46427000,6085,6085,2016,애니메이션,전체
