,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,연도,상영횟수,개봉년도
120,126,오퍼나지: 비밀의계단,2008-02-14,1132095000,0.001,175588.0,168.0,스페인,"스페인,멕시코","(주)팝엔터테인먼트,(주)프라임엔터테인먼트,(주)유레카픽쳐스",2008,,2008
121,127,찰리윌슨의 전쟁,2008-02-06,1138316611,0.001,173263.0,150.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
122,128,케로로 더 무비:케로로 VS 케로로 천공대결전,2008-08-07,982898500,0.001,170998.0,63.0,일본,일본,투니버스(주)온미디어,2008,,2008
123,130,데스 레이스,2008-10-16,1044019000,0.001,156983.0,151.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
124,131,마이 블루베리 나이츠,2008-03-06,982852167,0.001,152163.0,157.0,홍콩,"홍콩,프랑스",(주)쇼박스,2008,,2008
125,132,쏘우 V,2008-12-03,1044040000,0.001,150835.0,153.0,미국,"미국,캐나다",(주)성원아이컴,2008,,2008
126,133,화피,2008-10-23,975274000,0.001,147450.0,172.0,홍콩,"홍콩,싱가포르,중국",(주)시너지하우스 (시너지),2008,,2008
127,135,니코,2008-12-24,866055000,0.001,141394.0,168.0,핀란드,"핀란드,덴마크,독일,아일랜드",롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
128,136,로맨틱 아일랜드,2008-12-24,931114000,0.001,139832.0,208.0,한국,한국,실버스푼,2008,,2008
129,137,꽃보다 남자,2008-09-11,851004500,0.001,139217.0,196.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
130,140,굿바이,2008-10-30,848812666,0.001,136432.0,167.0,일본,일본,"(주)드림팩트엔터테인먼트,㈜케이디미디어",2008,,2008
131,142,황시,2008-09-18,812706500,0.001,130275.0,214.0,호주,"호주,중국,독일",CJ ENM,2008,,2008
132,143,프라이스리스,2008-05-08,850396500,0.001,129645.0,99.0,프랑스,프랑스,㈜케이디미디어,2008,,2008
133,144,슈퍼히어로,2008-08-21,815185333,0.001,128054.0,181.0,미국,미국,(주)싸이더스,2008,,2008
134,145,명탐정 코난:베이커가의 망령,2008-05-01,711270500,0.001,124139.0,40.0,일본,일본,투니버스(주)온미디어,2008,,2008
135,146,데스 디파잉:어느 마술사의 사랑,2008-03-27,798922500,0.001,124127.0,221.0,영국,"영국,호주",롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
136,147,겟 썸,2008-05-22,783743000,0.001,122410.0,165.0,미국,미국,㈜스튜디오이쩜영,2008,,2008
137,148,내가 숨쉬는 공기,2008-04-09,772348500,0.001,117058.0,181.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
138,150,바디,2008-05-29,716431000,0.001,110686.0,160.0,태국,태국,㈜케이디미디어,2008,,2008
139,151,미운 오리 새끼의 모험,2008-04-03,618379000,0.001,109094.0,70.0,프랑스,"프랑스,독일,덴마크","(주)드림팩트엔터테인먼트,예지림엔터테인먼트",2008,,2008
