순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
1249,나를 차버린 스파이,수잔나 포겔,,(주)누리픽쳐스,(주)누리픽쳐스,2018-08-22,개봉영화,장편,미국,278,2346742100,264766,741785000,82196,액션,15,일반영화,2018,2346742
1250,마야,알렉스 스타더만,,㈜세종커뮤니케이션스,(주)박수엔터테인먼트,2014-09-04,개봉영화,장편,독일,295,1927575700,262289,408898500,52310,애니메이션,전체,독립/예술영화,2014,1927575
1251,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019-03-20,개봉영화,장편,한국,833,2256615278,262233,543947088,61930,범죄,19,일반영화,2019,2256615
1252,스파이 브릿지,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-11-05,개봉영화,장편,미국,425,2015360478,260721,722246378,90018,스릴러,12,일반영화,2015,2015360
1253,원더,스티븐 크보스키,,"CGV아트하우스,그린나래미디어(주)","CGV아트하우스,그린나래미디어(주)",2017-12-27,개봉영화,장편,미국,183,1988444689,260506,881872289,114196,드라마,전체,독립/예술영화,2017,1988444
1254,장고:분노의 추적자,쿠엔틴 타란티노,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-21,개봉영화,장편,미국,342,1883634000,260144,908138000,120823,서부극(웨스턴),19,일반영화,2013,1883634
1255,공범자들,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2017-08-17,개봉영화,장편,한국,228,2017678800,258478,745661900,92054,다큐멘터리,15,독립/예술영화,2017,2017678
1256,맥스 페인,존 무어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2008-11-20,개봉영화,장편,미국,155,1629486000,257808,585242500,88871,범죄,15,일반영화,2008,1629486
1257,함정,권형진,(주)에이치에스이디,,(주)인벤트스톤,2015-09-10,개봉영화,장편,한국,445,2088685200,257716,411417600,50477,스릴러,19,일반영화,2015,2088685
1258,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-02-12,개봉영화,장편,일본,187,1885543600,257381,356320500,48679,애니메이션,12,일반영화,2015,1885543
1259,파이널 데스티네이션5,스티븐 쿼일,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-08,개봉영화,장편,미국,168,2370348500,257193,880006000,87499,공포(호러),19,일반영화,2011,2370348
1260,쓰리 데이즈,폴 해기스,"라이온스 게이트 필름즈,피델리트 필름",에스엔엠코리아,롯데쇼핑㈜롯데엔터테인먼트,2010-12-22,개봉영화,장편,미국,211,1882542699,257106,621398000,80819,범죄,15,독립/예술영화,2010,1882542
1261,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,개봉영화,장편,미국,401,1997947292,256475,605776392,75489,액션,15,일반영화,2015,1997947
1262,카우보이 & 에이리언,존 파브로,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-08-11,개봉영화,장편,미국,269,1930249000,256346,637026000,80926,액션,15,일반영화,2011,1930249
1263,기묘한 가족,이민재,"씨네주 유한회사,오스카10스튜디오",,메가박스중앙(주)플러스엠,2019-02-13,개봉영화,장편,한국,625,2062904275,256202,465060345,56391,코미디,12,일반영화,2019,2062904
1264,밤의 여왕,김제영,"(주)영화사아이비젼,(유)밤의여왕문화산업전문회사",,(주)인벤트스톤,2013-10-17,개봉영화,장편,한국,333,1762892500,252475,513568000,69050,멜로/로맨스,15,일반영화,2013,1762892
1265,노벰버 맨,로저 도널드슨,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2014-10-16,개봉영화,장편,미국,395,1891131320,252444,526222320,67486,액션,15,일반영화,2014,1891131
1266,불신지옥,이용주,(주)영화사아침,,(주)쇼박스,2009-08-12,개봉영화,장편,한국,237,1818156353,251314,551869000,72073,미스터리,15,일반영화,2009,1818156
1267,정글 크루즈,자움 콜렛 세라,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-07-28,개봉영화,장편,미국,831,2307504720,251071,610208560,64370,액션,12,일반영화,2021,2307504
1268,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,(주)씨제이이엔엠,2016-06-23,개봉영화,장편,한국,502,2027801239,250650,576619139,68878,스릴러,19,일반영화,2016,2027801
1269,라스트 크리스마스,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-12-05,개봉영화,장편,미국,623,2055043430,249380,661347980,78206,코미디,12,일반영화,2019,2055043
1270,걸스카우트,김상만,(주)보경사,,롯데쇼핑㈜롯데엔터테인먼트,2008-06-05,개봉영화,장편,한국,257,1534585000,249114,400738500,61954,드라마,15,일반영화,2008,1534585
1271,노크:낯선 자들의 방문,브라이언 버티노,,쌈지아이비젼영상사업단,영화사청어람(주),2008-07-02,개봉영화,장편,미국,180,1571432000,248943,502720000,75615,공포(호러),15,일반영화,2008,1571432
1272,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015-03-12,개봉영화,장편,한국,368,1950635763,248215,551485163,67072,스릴러,15,독립/예술영화,2015,1950635
1273,공작부인:세기의 스캔들,사울 딥,,(유)마스엔터테인먼트코리아,(주)넥스트엔터테인먼트월드(NEW),2008-10-16,개봉영화,장편,미국,195,1576695833,247373,705223333,105464,사극,15,일반영화,2008,1576695
1274,뉴욕은 언제나 사랑 중,그리핀 던,,데이지엔터테인먼트,(주)싸이더스,2009-03-12,개봉영화,장편,미국,221,1685806671,247138,766500500,107346,멜로/로맨스,15,일반영화,2009,1685806
1275,월 스트리트: 머니 네버 슬립스,올리버 스톤,에드워드 알 프레스만 필름 코포레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-10-21,개봉영화,장편,미국,286,1788986817,245343,783079000,100864,드라마,12,일반영화,2010,1788986
1276,엑스파일:나는 믿고싶다,크리스 카터,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2008-08-13,개봉영화,장편,미국,237,1614196833,244338,591984333,85190,SF,15,일반영화,2008,1614196
1277,적과의 동침,박건용,(주)알지엔터웍스,,(주)쇼박스,2011-04-27,개봉영화,장편,한국,391,1740340000,243094,558480500,74511,드라마,12,일반영화,2011,1740340
1278,툼스톤,스콧 프랭크,,"(주)드림웨스트픽쳐스,(주)부메랑모션픽쳐스",(주)인벤트스톤,2014-09-18,개봉영화,장편,미국,378,1875449247,242707,599247647,74632,액션,19,일반영화,2014,1875449
1279,명탐정 코난:감벽의 관,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,2018-02-14,개봉영화,장편,일본,487,1800316000,242164,310023800,40693,애니메이션,12,일반영화,2018,1800316
1280,인터내셔널,톰 티크베어,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-26,개봉영화,장편,미국,199,1617695541,241669,603331000,86332,액션,19,일반영화,2009,1617695
1281,캡틴 필립스,폴 그린그래스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-23,개봉영화,장편,미국,302,1679067434,241514,714998434,97908,액션,15,일반영화,2013,1679067
1282,창문 넘어 도망친 100세 노인,플렉스 할그렌,,"블루미지,(주)영화사 빅",(주)영화사 빅,2014-06-18,개봉영화,장편,스웨덴,300,1824795453,240990,719883353,92554,어드벤처,15,독립/예술영화,2014,1824795
1283,아이 필 프리티,아비 콘,,(주)퍼스트런,(주)홈초이스,2018-06-06,개봉영화,장편,미국,213,2125902300,240148,908668400,100403,코미디,15,일반영화,2018,2125902
1284,27번의 결혼리허설,앤 플레쳐,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2008-03-06,개봉영화,장편,미국,220,1592159556,239674,686825556,98530,멜로/로맨스,15,일반영화,2008,1592159
1285,서약,마이클 수치,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-14,개봉영화,장편,미국,314,1810275500,239483,797303000,101134,드라마,15,일반영화,2012,1810275
1286,미옥,이안규,(주)영화사 소중한,,(주)키다리이엔티,2017-11-09,개봉영화,장편,한국,635,1897705564,238587,520190864,63596,범죄,19,일반영화,2017,1897705
1287,하늘을 걷는 남자,로버트 저메키스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-28,개봉영화,장편,미국,415,2267273653,238257,910722153,92402,드라마,12,일반영화,2015,2267273
1288,사랑은 너무 복잡해,낸시 마이어스,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-03-11,개봉영화,장편,미국,186,1770119256,238073,922899000,119222,멜로/로맨스,19,독립/예술영화,2010,1770119
1289,그레이스 오브 모나코,올리비에 다한,,주식회사 디앤시엔터테인먼트,(주)쇼박스,2014-06-18,개봉영화,장편,프랑스,358,1752838200,237147,768813900,100692,드라마,12,독립/예술영화,2014,1752838
1290,해피 뉴 이어,곽재용,(주)하이브미디어코프,,"(주)씨제이이엔엠,주식회사 티빙",2021-12-29,개봉영화,장편,한국,832,2195273900,236642,609236390,65949,멜로/로맨스,12,일반영화,2021,2195273
1291,줄리아의 눈,기옘 모랄레스,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-03-31,개봉영화,장편,스페인,232,1827211000,236359,676354500,83077,미스터리,19,일반영화,2011,1827211
1292,뮬란,니키 카로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-09-17,개봉영화,장편,미국,1420,2079737620,236247,600704000,65400,어드벤처,12,일반영화,2020,2079737
1293,레고 무비,"필 로드,크리스 밀러",,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-02-06,개봉영화,장편,미국,317,1601300200,236129,363232000,51304,애니메이션,전체,일반영화,2014,1601300
1294,세이빙 산타,"레온 주센,아론 실먼",,㈜코리아스크린,(주)영화사 빅,2013-12-19,개봉영화,장편,영국,297,1520048000,235688,323811500,47288,애니메이션,전체,일반영화,2013,1520048
1295,닌자터틀 : 어둠의 히어로,데이브 그린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-06-16,개봉영화,장편,미국,517,1934052000,235207,562213400,64425,액션,12,일반영화,2016,1934052
1296,비행기,클레이 홀,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-19,개봉영화,장편,미국,408,1671046500,233563,444525500,58410,애니메이션,전체,일반영화,2013,1671046
1297,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,2015-01-14,개봉영화,장편,일본,360,1653084000,233347,385135900,52427,애니메이션,전체,일반영화,2015,1653084
1298,드림 쏭,애쉬 브래넌,,(주)시네마리퍼블릭,(주)이수C&E,2016-09-14,개봉영화,장편,미국,399,1817437700,233283,388509000,47585,애니메이션,전체,독립/예술영화,2016,1817437
1299,강철대오:구국의 철가방,육상효,스페이스엠(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-10-25,개봉영화,장편,한국,366,1614867156,233211,501037128,71509,코미디,15,일반영화,2012,1614867
1300,내가 죽던 날,박지완,"오스카10스튜디오,스토리퐁",,워너브러더스 코리아(주),2020-11-12,개봉영화,장편,한국,909,2135396020,233112,549836600,58772,드라마,12,일반영화,2020,2135396
1301,세븐 파운즈,가브리엘 무치노,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-05,개봉영화,장편,미국,190,1528213109,232972,615843500,89889,드라마,15,일반영화,2009,1528213
1302,나일 강의 죽음,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-09,개봉영화,장편,미국,1041,2241775480,232831,829575980,84623,범죄,12,일반영화,2022,2241775
1303,디파이언스,에드워드 즈윅,,(주)미로비젼,(주)엠플러스픽쳐스,2009-01-08,개봉영화,장편,미국,162,1551731322,232532,506333000,73193,드라마,15,일반영화,2009,1551731
1304,원스,존 카니,,"(주)제이앤씨미디어그룹,(주)영화사 진진","(주)제이앤씨미디어그룹,(주)영화사 진진",2007-09-20,개봉영화,장편,아일랜드,10,45419094,232459,44139500,180826,드라마,전체,독립/예술영화,2007,45419
1305,어느날,이윤기,(주)인벤트스톤,,"오퍼스픽쳐스(유),CGV아트하우스",2017-04-05,개봉영화,장편,한국,532,1827370582,232016,566199082,69068,멜로/로맨스,15,일반영화,2017,1827370
1306,명탐정 코난: 비색의 탄환,나가오카 치카,,(주)씨제이이엔엠,(주)씨제이이엔엠,2021-04-16,개봉영화,장편,일본,844,2173296640,230672,529912070,54457,애니메이션,12,일반영화,2021,2173296
1307,인플루언스,이재규,"리얼라이즈픽쳐스(주),윈저엔터테인먼트",,,2010-08-19,개봉영화,장편,한국,3,1529006,229610,1310000,175,드라마,15,일반영화,2010,1529
1308,폐가,이철하,"데이지엔터테인먼트,HY Films",,(주)시너지하우스 (시너지),2010-08-19,개봉영화,장편,한국,160,1611889133,229610,330786500,43876,공포(호러),15,일반영화,2010,1611889
1309,시카리오: 데이 오브 솔다도,스테파노 솔리마,,㈜코리아스크린,㈜코리아스크린,2018-06-27,개봉영화,장편,미국,261,1938637400,229542,729204500,84358,액션,15,일반영화,2018,1938637
1310,순정,이은희,(주)주피터필름,,(주)리틀빅픽쳐스,2016-02-24,개봉영화,장편,한국,467,1643792033,229059,507428633,65385,드라마,12,일반영화,2016,1643792
1311,포스 카인드,올라턴드 오선샌미,"유니버셜 픽쳐스,골드써클필름,포커스필름프로덕션㈜,샴바라 픽처스,대드 크루 프로덕션,사가 필름",㈜메가박스,(주)넥스트엔터테인먼트월드(NEW),2010-02-25,개봉영화,장편,미국,189,1701070326,229014,537108500,67471,SF,15,일반영화,2010,1701070
1312,치즈인더트랩,김제영,(주)마운틴무브먼트스토리,,(주)리틀빅픽쳐스,2018-03-14,개봉영화,장편,한국,364,1890873700,229005,557695800,65340,멜로/로맨스,15,일반영화,2018,1890873
1313,컨테이젼,스티븐 소더버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-22,개봉영화,장편,미국,226,1782554000,228899,791304500,97471,액션,12,일반영화,2011,1782554
1314,쓰리데이즈 투 킬,맥지,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-04-03,개봉영화,장편,미국,388,1741058200,228539,519245900,65105,액션,15,일반영화,2014,1741058
1315,극장판 도라에몽: 진구의 공룡대탐험,와타나베 아유무,TV 아사히,대원미디어(주),대원미디어(주),2009-07-15,개봉영화,장편,일본,135,1481894577,228143,352907500,51838,애니메이션,전체,일반영화,2009,1481894
1316,캐빈 인 더 우즈,드류 고다드,,"(유)조이앤컨텐츠그룹,(주)케이알씨지",롯데쇼핑㈜롯데엔터테인먼트,2012-06-28,개봉영화,장편,미국,288,1710273500,228090,625231000,79749,공포(호러),19,일반영화,2012,1710273
1317,일곱난쟁이,헤랄드 지페르만,,(주)스마일이엔티,메가박스중앙(주)플러스엠,2014-12-24,개봉영화,장편,독일,263,1622195700,227586,336490100,44566,애니메이션,전체,일반영화,2014,1622195
1318,바빌론 A.D.,마티유 카소비츠,,이십세기폭스코리아(주),이십세기폭스코리아(주),2008-10-02,개봉영화,장편,미국,163,1483575500,227354,463151000,68002,SF,12,일반영화,2008,1483575
1319,캐시트럭,가이 리치,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2021-06-09,개봉영화,장편,미국,938,2157864790,227065,637801460,65722,액션,19,일반영화,2021,2157864
1320,딥,줄리오 소토 거피드,,(주)영화사 빅,(주)이수C&E,2017-10-03,개봉영화,장편,스페인,441,1746940500,226933,349568900,43492,애니메이션,전체,독립/예술영화,2017,1746940
1321,크루즈 패밀리: 뉴 에이지,조엘 크로포드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-05-05,개봉영화,장편,미국,1082,1987680700,226358,438008040,48530,애니메이션,전체,일반영화,2021,1987680
1322,극장판 루팡 3세 VS 명탐정 코난,카메가키 하지메,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-05-29,개봉영화,장편,일본,327,1585872205,225842,272598605,37324,애니메이션,12,일반영화,2014,1585872
1323,잡스,조슈아 마이클 스턴,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2013-08-29,개봉영화,장편,미국,402,1594113136,225146,713943636,96230,드라마,12,일반영화,2013,1594113
1324,분노의 윤리학,박명랑,"(주)티피에스컴퍼니,(주)사람엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-02-21,개봉영화,장편,한국,302,1654554000,224891,516562000,68651,스릴러,19,일반영화,2013,1654554
1325,괴물의 아이,호소다 마모루,,(주)얼리버드픽쳐스,"CGV아트하우스,(주)리틀빅픽쳐스",2015-11-25,개봉영화,장편,일본,363,1665251116,224849,545626716,70530,애니메이션,12,일반영화,2015,1665251
1326,한공주,이수진,리 공동체 영화사,,CGV아트하우스,2014-04-17,개봉영화,장편,한국,226,1780640800,224452,576752300,70103,드라마,19,독립/예술영화,2014,1780640
1327,메리 포핀스 리턴즈,롭 마샬,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-02-14,개봉영화,장편,미국,573,1816281960,224160,816286900,97070,판타지,전체,일반영화,2019,1816281
1328,12 솔져스,니콜라이 퓰시,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2018-01-31,개봉영화,장편,미국,211,1833626400,223740,597547500,70049,액션,15,독립/예술영화,2018,1833626
1329,이스케이프 룸 2: 노 웨이 아웃,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-07-14,개봉영화,장편,미국,728,2219351090,223313,515715560,51619,액션,15,일반영화,2021,2219351
1330,알파 앤 오메가,"안소니 벨,벤 글럭",,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2011-02-24,개봉영화,장편,미국,230,1685788500,222953,332960000,41008,애니메이션,전체,일반영화,2011,1685788
1331,일라이,"알렌 휴즈,알버트 휴즈",알콘엔터테인먼트,㈜케이디미디어,(주)쇼박스,2010-04-15,개봉영화,장편,미국,252,1661141088,222927,532299500,67913,액션,15,일반영화,2010,1661141
1332,마마,최익환,"씨네주(유),㈜더드림앤드픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,개봉영화,장편,한국,269,1533830500,222731,427065500,59189,드라마,12,일반영화,2011,1533830
1333,코렐라인: 비밀의 문,헨리 셀릭,,유니버설픽쳐스인터내셔널 코리아(유),,2009-05-21,개봉영화,장편,미국,251,1448857479,222594,416997000,58692,애니메이션,전체,일반영화,2009,1448857
1334,시,이창동,"파인하우스필름(주),유니코리아문예투자(주)",,(주)넥스트엔터테인먼트월드(NEW),2010-05-13,개봉영화,장편,한국,171,1567857053,222017,812330850,111181,드라마,15,독립/예술영화,2010,1567857
1335,헤라클레스 : 레전드 비긴즈,레니 할린,,(유)조이앤컨텐츠그룹,(주)넥스트엔터테인먼트월드(NEW),2014-04-10,개봉영화,장편,미국,390,1662172151,221327,493617151,63145,액션,15,일반영화,2014,1662172
1336,노미오와 줄리엣,캘리 애스버리,,(주)쇼박스,(주)쇼박스,2011-04-14,개봉영화,장편,영국,291,1937118000,221176,545159500,56632,애니메이션,전체,일반영화,2011,1937118
1337,우리 집에 왜 왔니,황수아,㈜어거스트,,롯데쇼핑㈜롯데엔터테인먼트,2009-04-09,개봉영화,장편,한국,211,1427488305,219962,490008000,72204,드라마,15,일반영화,2009,1427488
1338,언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-07,개봉영화,장편,미국,386,1643911941,219678,347479141,45233,공포(호러),15,일반영화,2015,1643911
1339,노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,개봉영화,장편,독일,436,1586417300,219621,362928700,48437,애니메이션,전체,일반영화,2015,1586417
1340,명탐정 코난: 감청의 권,나가오카 치카,,(주)씨제이이엔엠,(주)씨제이이엔엠,2019-07-24,개봉영화,장편,일본,602,1740310530,219078,406727890,48968,애니메이션,12,일반영화,2019,1740310
1341,언데드,데이빗 S. 고이어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2009-02-26,개봉영화,장편,미국,171,1449559974,217924,403070000,56935,공포(호러),15,일반영화,2009,1449559
1342,1급기밀,홍기선,"(주)미인픽쳐스,(주)미디어모굴",,(주)리틀빅픽쳐스,2018-01-24,개봉영화,장편,한국,512,1720083300,217803,406282500,50330,드라마,12,일반영화,2018,1720083
1343,50가지 그림자: 해방,제임스 폴리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-02-21,개봉영화,장편,미국,213,1866384500,217785,650566700,75135,드라마,19,일반영화,2018,1866384
1344,나는 공무원이다,구자홍,마포필름,,(주)넥스트엔터테인먼트월드(NEW),2012-07-12,개봉영화,장편,한국,278,1535913500,217493,429380000,57654,코미디,전체,일반영화,2012,1535913
1345,속닥속닥,최상훈,"(주)파이브데이,꿀잼컴퍼니(주)",,(주)그노스,2018-07-13,개봉영화,장편,한국,314,1900914300,217444,342387100,36960,공포(호러),15,일반영화,2018,1900914
1346,짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,마스이 소이치,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2013-04-25,개봉영화,장편,일본,290,1430168500,217320,254199000,36672,애니메이션,전체,일반영화,2013,1430168
1347,메카닉,사이먼 웨스트,,(주)동아수출공사,씨너스엔터테인먼트(주),2011-02-24,개봉영화,장편,미국,226,1666463000,217077,461222500,56874,드라마,19,일반영화,2011,1666463
1348,프리즌 이스케이프,,,주식회사 풍경소리,(주)이놀미디어,2020-05-06,개봉영화,장편,영국,328,1848297600,217056,556477740,63837,어드벤처,12,독립/예술영화,2020,1848297
1349,원피스 필름 골드,미야모토 히로아키,,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-12-08,개봉영화,장편,일본,445,1707251100,216861,392628800,47051,애니메이션,12,일반영화,2016,1707251
1350,송 포 유,폴 앤드류 윌리엄스,,(주)유이케이,(주)넥스트엔터테인먼트월드(NEW),2013-04-18,개봉영화,장편,영국,317,1484169000,216852,588610500,84339,코미디,12,일반영화,2013,1484169
1351,지구,"알래스테어 포더길,마크 린필드",,거원시네마(주),(주)엠플러스픽쳐스,2008-09-04,개봉영화,장편,영국,181,1351632500,216755,534407500,80990,다큐멘터리,전체,독립/예술영화,2008,1351632
1352,페넬로피,마크 팔란스키,,CJ ENM,CJ ENM,2008-05-15,개봉영화,장편,미국,148,1399298333,216703,648849333,96444,코미디,12,일반영화,2008,1399298
1353,그린랜턴: 반지의 선택,마틴 캠벨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-06-16,개봉영화,장편,미국,345,1651783500,216676,572042000,71758,SF,12,일반영화,2011,1651783
1354,케로로 더 무비: 드래곤 워리어,"사토 준이치,야마구치 스스무",,(주)온미디어,에이원엔터테인먼트,2009-04-30,개봉영화,장편,일본,125,1291833933,216487,273320000,44097,애니메이션,전체,일반영화,2009,1291833
1355,루돌프와 많이있어,"유야마 쿠니히코,사카키바라 모토노리",,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-12-28,개봉영화,장편,일본,375,1627646800,215993,283106600,35318,애니메이션,전체,일반영화,2016,1627646
1356,나는 비와 함께 간다,트란 안 홍,,(주)케이앤엔터테인먼트,CJ ENM,2009-10-15,개봉영화,장편,프랑스,220,1641619990,215362,629834000,79046,범죄,19,일반영화,2009,1641619
1357,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,"우시로 신지,요코이 타케시",,(주)씨제이이엔엠,(주)씨제이이엔엠,2017-09-27,개봉영화,장편,일본,486,1581375300,215203,302166700,39494,애니메이션,전체,일반영화,2017,1581375
1358,벽 속에 숨은 마법시계,일라이 로스,,(주)씨제이이엔엠,CGV아트하우스,2018-10-31,개봉영화,장편,미국,609,1654715300,215029,461680100,57500,판타지,전체,일반영화,2018,1654715
1359,허리케인 하이스트,롭 코헨,,(주)우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2018-03-14,개봉영화,장편,미국,544,1730262848,214949,406693648,49348,액션,15,일반영화,2018,1730262
1360,라듸오 데이즈,하기호,(주)싸이더스,,(주)싸이더스,2008-01-31,개봉영화,장편,한국,254,1405676000,214946,562068500,82637,코미디,12,일반영화,2008,1405676
1361,독수리 에디,덱스터 플레처,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-04-07,개봉영화,장편,미국,528,1699642120,214003,629422120,76061,드라마,12,일반영화,2016,1699642
1362,한 솔로: 스타워즈 스토리,론 하워드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-05-24,개봉영화,장편,미국,569,1964276778,213980,778382478,79048,액션,12,일반영화,2018,1964276
1363,"극장판 포켓몬스터: 정글의 아이, 코코",야지마 테츠오,,(주)포켓몬코리아,(주)넥스트엔터테인먼트월드(NEW),2021-09-15,개봉영화,장편,일본,699,1941940320,213913,344498600,36151,애니메이션,전체,일반영화,2021,1941940
1364,매트릭스: 리저렉션,라나 워쇼스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-12-22,개봉영화,장편,미국,970,2121245270,213693,792315420,77491,액션,15,일반영화,2021,2121245
1365,말리와 나,데이빗 프랭클,"폭스2000픽처스,뉴리전시 픽쳐스",이십세기폭스코리아(주),이십세기폭스코리아(주),2009-02-19,개봉영화,장편,미국,209,1437267652,213500,671573000,95741,드라마,12,일반영화,2009,1437267
1366,"대한이, 민국씨",최진원,(주)퍼니필름,,롯데쇼핑㈜롯데엔터테인먼트,2008-02-14,개봉영화,장편,한국,174,1192710500,212854,243088500,42542,코미디,15,일반영화,2008,1192710
1367,아이 엠 어 히어로,사토 신스케,,(주)영화사 빅,(주)영화사 빅,2016-09-21,개봉영화,장편,일본,263,1806714900,212599,510901800,59348,액션,19,독립/예술영화,2016,1806714
1368,조제,김종관,볼미디어(주),,워너브러더스 코리아(주),2020-12-10,개봉영화,장편,한국,1179,1896675540,212439,480504490,53916,멜로/로맨스,15,일반영화,2020,1896675
1369,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",사카모토 코이치,,대원미디어(주),(주)이수C&E,2014-10-02,개봉영화,장편,일본,363,1546944100,212368,287770800,37612,액션,전체,일반영화,2014,1546944
1370,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",2015-05-07,개봉영화,장편,한국,398,1706805153,212154,382376253,45698,멜로/로맨스,19,일반영화,2015,1706805
1371,러블리 본즈,피터 잭슨,"윙누트 필름,드림웍스 프로덕션 LLC",CJ ENM,CJ ENM,2010-02-25,개봉영화,장편,미국,225,1572420641,212035,630758500,80832,범죄,15,일반영화,2010,1572420
