순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
4832,핀두스 이야기,알리 사마디 아하디,,(주)영화사 안다미로,(주)레인메이커필름,2017-11-30,개봉영화,장편,독일,22,17345000,3524,0,0,애니메이션,전체,독립/예술영화,2017,17345
4833,"힘내세요, 병헌씨",이병헌,,,㈜인디스토리,2013-06-27,개봉영화,장편,한국,18,25463600,3522,18462100,2471,코미디,15,독립/예술영화,2013,25463
4834,비커밍 아스트리드,퍼닐 피셔 크리스텐센,,알토미디어(주),알토미디어(주),2021-05-12,개봉영화,장편,기타,70,30674940,3520,15366180,1641,드라마,15,독립/예술영화,2021,30674
4835,라 트라비아타,후고 데 아나,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-07-06,개봉영화,장편,독일,2,92164500,3515,81167500,3112,공연,전체,독립/예술영화,2013,92164
4836,로봇,S. 샹카르,,(주)인영트레이딩,프리비젼엔터테인먼트,2012-04-19,개봉영화,장편,인도,37,25705000,3504,13486000,1741,SF,15,독립/예술영화,2012,25705
4837,오페라-카르멘(메트로폴리탄),"게리 할버슨,리처드 이어",메트로폴리탄 오페라,(주)에이치엠엔,㈜메가박스,2010-04-04,개봉영화,장편,미국,1,68885531,3498,67515000,3425,뮤지컬,12,일반영화,2010,68885
4838,까미유 끌로델,부르노 뒤몽,3비프로덕션즈,찬란,찬란,2013-10-24,개봉영화,장편,프랑스,6,25946000,3495,19537500,2451,드라마,15,독립/예술영화,2013,25946
4839,톡투미,카시 레몬즈,,(주)유레카픽쳐스,(주)유레카픽쳐스,2008-05-01,개봉영화,장편,미국,6,23370500,3493,19664500,2888,드라마,15,일반영화,2008,23370
4840,램스,그리무르 하코나르슨,,미디어 컨텐츠 스토어,"미디어 컨텐츠 스토어,(주)인디플러그",2016-11-03,개봉영화,장편,아이슬란드,23,25971300,3491,18074500,2263,드라마,15,독립/예술영화,2016,25971
4841,넥스트 제네레이션 패트레이버,오시이 마모루,,(주)도키엔터테인먼트,와이드 릴리즈(주),2014-04-24,개봉영화,장편,일본,20,23674500,3488,10967500,1678,액션,12,일반영화,2014,23674
4842,저녁의 게임,최낙권,(주)리얼곤시네마또,,한국예술영화관협회,2009-10-29,개봉영화,장편,한국,4,24758309,3487,20054500,2725,드라마,19,독립/예술영화,2009,24758
4843,로마에서 생긴 일,마크 스티븐 존슨,터치스톤 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-04-08,개봉영화,장편,미국,12,26864788,3480,19727000,2481,멜로/로맨스,12,일반영화,2010,26864
4844,미스피츠,레니 할린,,(주)누리픽쳐스,(주)누리픽쳐스,2021-06-03,개봉영화,장편,미국,21,21606540,3479,12129040,1960,액션,15,일반영화,2021,21606
4845,벤딩 디 아크: 세상을 바꾸는 힘,"키프 데이비슨,페드로 코스",,CGV아트하우스,CGV아트하우스,2017-11-09,개봉영화,장편,미국,45,24142600,3472,10403700,1377,다큐멘터리,전체,독립/예술영화,2017,24142
4846,유어 러브 송,앤드류 첸,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2022-03-16,개봉영화,장편,홍콩,59,25546700,3472,16392200,2191,멜로/로맨스,12,독립/예술영화,2022,25546
4847,안티크라이스트,라스 폰 트리에,,(주)씨네라인코리아,주식회사 마운틴픽쳐스,2011-04-14,개봉영화,장편,덴마크,17,26739000,3471,18387500,2325,미스터리,19,독립/예술영화,2011,26739
4848,헌티드 파크,타카하시 히로시,,(주)스톰픽쳐스코리아,(주)삼백상회,2020-05-06,개봉영화,장편,일본,143,30047360,3467,7408400,823,공포(호러),15,독립/예술영화,2020,30047
4849,이파네마 소년,김기훈,고스트라이터필름,,프리비젼엔터테인먼트,2010-11-04,개봉영화,장편,한국,13,25432810,3465,10204000,1348,멜로/로맨스,12,독립/예술영화,2010,25432
4850,홈프론트-가족을 지켜라,게리 플레더,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2014-06-18,개봉영화,장편,미국,55,23849000,3464,3612000,615,액션,15,일반영화,2014,23849
4851,일탈여행: 프라이빗 아일랜드,한상희,(주)컨텐츠로드,,(주)팝엔터테인먼트,2013-08-29,개봉영화,장편,한국,23,18135500,3460,10106000,1866,멜로/로맨스,19,일반영화,2013,18135
4852,윈드 리버: 감독판,테일러 쉐리던,,(주)유로커뮤니케이션,"(주)다자인소프트,(주)유로커뮤니케이션",2017-09-21,개봉영화,장편,미국,9,26691300,3458,14555300,1931,스릴러,19,독립/예술영화,2017,26691
4853,너의 여자친구,이장희,,,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2019-12-04,개봉영화,장편,한국,74,21916400,3456,9293940,1168,코미디,12,독립/예술영화,2019,21916
4854,벨과 세바스찬 계속되는 모험,크리스찬 두가이,,썬택엔터테인먼트 주식회사,C 무비,2017-08-10,개봉영화,장편,프랑스,38,26194300,3450,12421000,1554,드라마,전체,독립/예술영화,2017,26194
4855,최후의 Z,크레이그 조벨,,(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트,2016-12-28,개봉영화,장편,아이슬란드,23,19439500,3449,2560000,309,드라마,12,독립/예술영화,2016,19439
4856,카잔자키스,,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2020-01-30,개봉영화,장편,기타,21,26839100,3447,20470100,2540,드라마,12,독립/예술영화,2020,26839
4857,나의 노래는 멀리멀리,현진식,,,영화사 풀,2019-10-03,개봉영화,장편,한국,27,28137380,3442,11261780,1328,다큐멘터리,전체,독립/예술영화,2019,28137
4858,강철의 연금술사 : 미로스의 성스러운 별,무라타 카즈야,,(주)디엔티미디어,예지림엔터테인먼트,2012-01-26,개봉영화,장편,일본,37,24368000,3441,11955500,1583,애니메이션,12,일반영화,2012,24368
4859,정원을 그리다 : 모네에서 마티스까지,데이비드 비커스태프,,메가박스중앙(주),메가박스중앙(주),2017-10-26,개봉영화,장편,영국,25,36375500,3441,21972500,2158,다큐멘터리,전체,일반영화,2017,36375
4860,리멤버,안나 저스티스,,미디어소프트,주식회사 마운틴픽쳐스,2012-12-13,개봉영화,장편,독일,12,23873000,3438,11199500,1525,드라마,15,독립/예술영화,2012,23873
4861,인헤리턴스,,,(주)누리픽쳐스,(주)누리픽쳐스,2020-06-25,개봉영화,장편,미국,58,22257000,3434,15766000,2666,스릴러,15,일반영화,2020,22257
4862,채식주의자,임우성,"(주)블루트리픽쳐스,(주)루돌프필름",,(주)스폰지이엔티,2010-02-18,개봉영화,장편,한국,19,25547105,3434,15983500,2078,드라마,19,독립/예술영화,2010,25547
4863,천국의 아이들,박흥식,"서울시 교육청,(주)인벤트스톤,(주)노마드필름",,(주)미로비젼,2012-05-24,개봉영화,장편,한국,7,19220000,3432,12301500,2248,드라마,12,독립/예술영화,2012,19220
4864,"무현, 두 도시 이야기 : 파이널 컷",전인환,엠앤씨에프,,㈜인디스토리,2017-08-30,개봉영화,장편,한국,103,24499000,3431,10997500,1451,다큐멘터리,15,독립/예술영화,2017,24499
4865,니나 내나,이동은,"(주)명필름,로랜드스튜디오",,(주)리틀빅픽쳐스,2019-10-30,개봉영화,장편,한국,51,27337980,3427,18748300,2195,드라마,12,독립/예술영화,2019,27337
4866,몬몬몬 몬스터,구파도,,주식회사 더쿱,주식회사 더쿱,2018-07-12,개봉영화,장편,대만,101,27639200,3426,13629600,1664,공포(호러),15,독립/예술영화,2018,27639
4867,메리 크리스마스 미스터 모,임대형,영화사 달리기,,㈜인디스토리,2017-12-14,개봉영화,장편,한국,31,23963800,3418,16721500,2172,코미디,12,독립/예술영화,2017,23963
